# רשימת מניות מדד ת"א 125 - מאומת מול אתר הבורסה (TASE, 15/09/2026) + Yahoo Finance
# (חיפוש לפי ISIN מדויק, לא לפי שם) - יש לוודא/לעדכן מדי רבעון כי הרכב המדד משתנה:
# https://market.tase.co.il/he/market_data/index/137/components
# עמודה yahoo_ticker היא הטיקר כפי שמופיע ב-Yahoo Finance (סיומת .TA)
# הערה: מזהה המדד השתנה - היה 166, עכשיו 137 (התגלה 15.9.2026, ה-URL הישן
# הצביע על מדד אחר לגמרי, "תל-דיב"). ת"א 125 כן כולל את כל 35 מניות ת"א-35
# בתוכו (מוודא: אין אף סימבול מ-ta35_constituents.csv שחסר כאן).
symbol,name,yahoo_ticker
ACKR,קבוצת אקרשטיין,ACKR.TA
ACRO,אקרו,ACRO.TA
AFPR,אפי נכסים,AFPR.TA
AFRE,אפריקה מגורים,AFRE.TA
ALHE,אלוני חץ,ALHE.TA
AMOT,אמות,AMOT.TA
AMPA,אמפא,AMPA.TA
AMRM,עמרם,AMRM.TA
ARGO,ארגו פרופרטיז,ARGO.TA
ARPT,ארפורט סיטי,ARPT.TA
ARYT,ארית תעשיות,ARYT.TA
ASHG,אשטרום קבוצה,ASHG.TA
AURA,אאורה,AURA.TA
AYAL,איילון,AYAL.TA
AZRG,עזריאלי קבוצה,AZRG.TA
AZRM,אזורים,AZRM.TA
BEZQ,בזק,BEZQ.TA
BIG,ביג מרכזי קניות,BIG.TA
BLSR,רבוע נדלן,BLSR.TA
BSEN,בית שמש,BSEN.TA
CAMT,קמטק,CAMT.TA
CEL,סלקום,CEL.TA
CLIS,כלל עסקי ביטוח,CLIS.TA
CRSM,קרסו מוטורס,CRSM.TA
DANE,דנאל,DANE.TA
DELG,דלתא גליל,DELG.TA
DIMRI,דמרי בנין,DIMRI.TA
DLEKG,דלק קבוצה,DLEKG.TA
DLTI,דלתא מותגים,DLTI.TA
DNYA,דניה סיבוס,DNYA.TA
DORL,דוראל אנרגיה,DORL.TA
DSCT,בנק דיסקונט,DSCT.TA
ECNR,אקונרג'י,ECNR.TA
ELAL,אל על,ELAL.TA
ELCO,אלקו,ELCO.TA
ELCRE,אלקטרה נדלן,ELCRE.TA
ELTR,אלקטרה,ELTR.TA
ENLT,אנלייט אנרגיה,ENLT.TA
ENOG,אנרג'יאן,ENOG.TA
ENRG,אנרג'יקס,ENRG.TA
EQTL,אקויטל,EQTL.TA
ESLT,אלביט מערכות,ESLT.TA
FIBI,הבינלאומי,FIBI.TA
FIBIH,פיבי,FIBIH.TA
FORTY,פורמולה מערכות,FORTY.TA
FOX,פוקס,FOX.TA
FTAL,פתאל החזקות,FTAL.TA
GILT,גילת,GILT.TA
GNRS,ג'נריישן קפיטל,GNRS.TA
GVYM,גב ים,GVYM.TA
HARL,הראל השקעות,HARL.TA
HLAN,חילן,HLAN.TA
IBI,איביאי בית השק,IBI.TA
ICL,איי סי אל,ICL.TA
IDIN,איידיאיי ביטוח,IDIN.TA
IES,אייאיאס,IES.TA
ILCO,חברה לישראל,ILCO.TA
INRM,אינרום,INRM.TA
ISCD,ישראכרט,ISCD.TA
ISCN,ישראל קנדה,ISCN.TA
ISHI,מספנות ישראל,ISHI.TA
ISRA,ישראמקו יהש,ISRA.TA
ISRO,ישרוטל,ISRO.TA
ISRS,ישרס,ISRS.TA
KEN,קנון החזקות,KEN.TA
KSTN,קיסטון אינפרא,KSTN.TA
LAHAV,להב,LAHAV.TA
LAPD,לפידות קפיטל,LAPD.TA
LUMI,בנק לאומי,LUMI.TA
MAXO,מקס סטוק,MAXO.TA
MGDL,מגדל ביטוח,MGDL.TA
MGOR,מגה אור החזקות,MGOR.TA
MISH,מבטח שמיר,MISH.TA
MLSR,מליסרון,MLSR.TA
MMHD,מנורה מבטחים החזקות,MMHD.TA
MRIN,מור השקעות,MRIN.TA
MSKE,משק אנרגיה,MSKE.TA
MTAV,מיטב השקעות,MTAV.TA
MTRX,מטריקס,MTRX.TA
MVNE,מבנה,MVNE.TA
MZTF,בנק מזרחי טפחות,MZTF.TA
NICE,נייס,NICE.TA
NOFR,נופר אנרג'י,NOFR.TA
NTML,נטו מלינדה,NTML.TA
NVMI,נובה,NVMI.TA
NVPT,נאוויטס פטרוליום,NVPT.TA
NWMD,ניו-מד אנרגיה,NWMD.TA
NXSN,נקסט ויז'ן,NXSN.TA
NYAX,נאייקס,NYAX.TA
ONE,וואן טכנולוגיות,ONE.TA
