# רשימת מניות מדד ת"א 35 - מאומת מול אתר הבורסה (TASE, 15/09/2026) + Yahoo Finance
# (חיפוש לפי ISIN מדויק, לא לפי שם) - יש לוודא/לעדכן מדי רבעון כי הרכב המדד משתנה:
# https://market.tase.co.il/he/market_data/index/142/components
# עמודה yahoo_ticker היא הטיקר כפי שמופיע ב-Yahoo Finance (סיומת .TA)
# הערה: פאלו אלטו נטוורקס (Palo Alto Networks, ISIN US6974351057) הוצאה מהרשימה בכוונה -
# היא חלק ממדד ת"א-35 בפועל, אבל אין לה טיקר .TA נפרד ב-Yahoo Finance (רק PANW ב-NASDAQ,
# דולרים) - הסורק מניח שכל מניה ישראלית מתומחרת באגורות ונסחרת בשעות ת"א, מה שלא נכון
# לגביה. עד שתתווסף תמיכה במניה זרה בתוך מדד ישראלי, היא מדולגת.
symbol,name,yahoo_ticker
AZRG,עזריאלי קבוצה,AZRG.TA
BEZQ,בזק,BEZQ.TA
BIG,ביג מרכזי קניות,BIG.TA
CAMT,קמטק,CAMT.TA
CLIS,כלל עסקי ביטוח,CLIS.TA
DIMRI,דמרי בנין,DIMRI.TA
DLEKG,דלק קבוצה,DLEKG.TA
DSCT,בנק דיסקונט,DSCT.TA
ENLT,אנלייט אנרגיה,ENLT.TA
ESLT,אלביט מערכות,ESLT.TA
FIBI,הבינלאומי,FIBI.TA
HARL,הראל השקעות,HARL.TA
ICL,איי סי אל,ICL.TA
KEN,קנון החזקות,KEN.TA
LUMI,בנק לאומי,LUMI.TA
MGDL,מגדל ביטוח,MGDL.TA
MGOR,מגה אור החזקות,MGOR.TA
MLSR,מליסרון,MLSR.TA
MMHD,מנורה מבטחים החזקות,MMHD.TA
MZTF,בנק מזרחי טפחות,MZTF.TA
NICE,נייס,NICE.TA
NVMI,נובה,NVMI.TA
NVPT,נאוויטס פטרוליום,NVPT.TA
NWMD,ניו-מד אנרגיה,NWMD.TA
NXSN,נקסט ויז'ן,NXSN.TA
OPCE,או.פי.סי אנרגיה,OPCE.TA
ORA,אורמת טכנולוגיות,ORA.TA
PHOE,הפניקס אחזקות,PHOE.TA
POLI,בנק הפועלים,POLI.TA
SAE,שופרסל,SAE.TA
SPEN,שפיר הנדסה,SPEN.TA
STRS,שטראוס גרופ,STRS.TA
TASE,הבורסה לניירות ערך,TASE.TA
TEVA,טבע,TEVA.TA
TSEM,טאואר סמיקונדקטור,TSEM.TA
