# מיפוי טיקר Yahoo Finance -> סימול המסחר האמיתי בבורסה (TASE) + מספר ני"ע -
# נאסף ידנית (24.9.2026) מתוך דף "הרכב מדד" של ת"א-125 באתר הבורסה:
# https://market.tase.co.il/he/market_data/index/137/components
# (5 עמודים, 126 שורות - כולל את כל 35 מניות ת"א-35 וגם פאלו אלטו שלא נכללת
# ב-ta125_constituents.csv כי אין לה טיקר .TA נפרד ב-Yahoo).
# נדרש כי הסימול שמופיע ב-Yahoo/בדשבורד לא תמיד תואם למה שמוצג באתר הבנק -
# למשל קווליטאו (QLTU.TA) מוצגת בבנק כ"קלטו", לא "קווליטאו" (24.9.2026,
# "יש לנו פער בשמות המניות בינך לבין אתר הבנק שלי").
# יש לעדכן מדי רבעון יחד עם ta35/ta125_constituents.csv (הרכב המדד משתנה).
yahoo_ticker,tase_symbol,security_id
TEVA.TA,טבע,629014
POLI.TA,פעלים,662577
LUMI.TA,לאומי,604611
ESLT.TA,אלבמע,1081124
TSEM.TA,טאואר,1082379
DSCT.TA,דסקנט,691212
PHOE.TA,פנקס,767012
MZTF.TA,מזטפ,695437
NVMI.TA,נובה,1084557
ENLT.TA,אנלט,720011
HARL.TA,הראל,585018
NICE.TA,נייס,273011
CLIS.TA,כללבט,224014
BEZQ.TA,בזק,230011
ORA.TA,ארמת,1134402
OPCE.TA,אפסא,1141571
NXSN.TA,נקסנ,1176593
AZRG.TA,עזרל,1119478
TASE.TA,ברסה,1159029
NVPT.TA,נאפט,1141969
MGDL.TA,מגדל,1081165
CAMT.TA,קמטק,1095264
FIBI.TA,בנלמ,593038
MGOR.TA,מגאר,1104488
MMHD.TA,ממהח,566018
ICL.TA,איסל,281014
BIG.TA,ביג,1097260
MLSR.TA,מלסרן,323014
PAZ.TA,פז,1100007
NWMD.TA,נומד,475020
DLEKG.TA,דלקקב,1084128
SAE.TA,שפרסל,777037
STRS.TA,שטרס,746016
MVNE.TA,מבנה,226019
DORL.TA,דורל,1166768
SPEN.TA,שפהנ,1133875
SKBN.TA,שוב,1081942
BSEN.TA,מנבש,1081561
ELAL.TA,אלעל,1087824
ENRG.TA,אנרג,1123355
PTNR.TA,פרטנר,1083484
GNRS.TA,גנרש,1156926
MTRX.TA,מטרקס,445015
MTAV.TA,מיטב,1081843
ALHE.TA,אלחץ,390013
FTAL.TA,פתאל,1143429
ORL.TA,בזן,2590248
AMOT.TA,אמות,1097278
RIT1.TA,ריט1,1098920
FIBIH.TA,פיבי,763011
NOFR.TA,נופר,1170877
KEN.TA,קנון,1134139
HLAN.TA,חילן,1084698
ELTR.TA,אלקטה,739037
TRPZ.TA,תרפז,1175611
ENOG.TA,אנאג,1155290
MAXO.TA,מקסו,1168558
DIMRI.TA,דמרי,1090315
MSKE.TA,משקא,1166974
CEL.TA,סלקם,1101534
ISRA.TA,ישרמק,232017
RATI.TA,רצו,394015
FORTY.TA,פרמלה,256016
ONE.TA,וואן,161018
ISCN.TA,ישקנ,434019
PRTC.TA,פרטק,328013
ILCO.TA,חל,576017
GILT.TA,גילת,1082510
KSTN.TA,קסטנ,1175934
AYAL.TA,אילון,209015
RMLI.TA,רמלי,1104249
ASHG.TA,אשקב,1132315
AURA.TA,אארה,373019
INRM.TA,אנרם,1132356
ARGO.TA,ארגו,1175371
ARPT.TA,ארפט,1095835
FOX.TA,פוקס,1087022
NYAX.TA,ניקס,1175116
SLARL.TA,סלענד,1109644
GVYM.TA,גבים,759019
ISRO.TA,ישרטל,1080985
MISH.TA,מבשמ,127019
VRDS.TA,ורדס,1176387
ISCD.TA,ישכט,1157403
IDIN.TA,אדבט,1129501
QLTU.TA,קלטו,1083955
RMON.TA,רמון,1178722
MRIN.TA,מרהש,1141464
EQTL.TA,אקטל,755017
ECNR.TA,אקנר,1178334
DANE.TA,דנאל,314013
SCOP.TA,סקופ,288019
IBI.TA,אבא,175018
BLSR.TA,רבנד,1098565
SMT.TA,סמט,1081686
AFRE.TA,אפמג,1097948
IES.TA,איאס,431015
DELG.TA,דלתג,627034
SBEN.TA,שובא,1188242
NTML.TA,נטמל,1105097
ARYT.TA,ארית,587014
YHNF.TA,יחנפ,1161264
ELCO.TA,אלקו,694034
AFPR.TA,אפנכ,1091354
LAHAV.TA,להב,136010
RPOL.TA,ארפי,1222462
AZRM.TA,אזרם,715011
DNYA.TA,דניה,1173137
LAPD.TA,לפדת,642017
AMRM.TA,עמרם,1188200
ACRO.TA,אקרו,1184902
OPK.TA,אפקו,1129543
CRSM.TA,קרסמ,1123850
PRSK.TA,פרשק,1102128
ELCRE.TA,אלקנד,1094044
ISRS.TA,ישרס,613034
WESR.TA,וושר,1173228
AMPA.TA,אמפא,1225200
PTBL.TA,נכסבנ,699017
TMRP.TA,תמרפ,1141357
VILR.TA,ולאר,416016
UNMI.TA,יומי,1144773
DLTI.TA,דלתי,1173699
ISHI.TA,מספנ,1168533
ACKR.TA,אקרש,1176205
